faixas,unidades_locais,pessoal_ocup_total,pessoal_ocup_assal,pessoal_assalariado_medio,salario_outras_rem,salario_medio_mensal_min,salario_medio_mensal
Outras atividades de telecomunicações,8251,80800,70543,67743.52,2205093.316,2.624626,2503.89354980714
Atividades dos serviços de tecnologia da informação,68990,485968,381432,368277.74,26259639.666,5.749387,5484.91549339908
Atividades dos serviços de tecnologia da informação,68990,485968,381432,368277.74,26259639.666,5.749387,5484.91549339908
Atividades de prestação de serviços de informação,28423,139191,100182,97591.31,5935056.583,4.903679,4678.10929146174
"Tratamento de dados, hospedagem na internet e outras atividades relacionadas",21964,120001,89884,87169.91,5500633.844,5.088086,4854.03369474274
Outras atividades de prestação de serviços de informação,6459,19190,10298,10421.4,434422.739,3.361203,3206.58776836421
"Atividades financeiras, de seguros e serviços relacionados",135012,1079380,913962,905219.73,87380195.146,7.783363,7425.32807230045
Atividades de serviços financeiros,84354,714452,623139,620501.66,69253379.222,8.99925,8585.2840701134
Banco central,10,3731,3731,3812.48,1208281.161,25.554577,24379.0668258739
Intermediação monetária - depósitos à vista,28902,539684,530960,528817.26,59798313.008,9.117832,8698.41168078481
Intermediação não-monetária - outros instrumentos de captação,686,21106,20726,20582.38,3078652.313,12.060723,11505.9292799136
Arrendamento mercantil,25,527,507,496.53,116867.604,18.978283,18105.2820419868
